<s>,START 1.0
ईडी,UN 5.307010560951016e-05
चार्जशीट,FW 0.0020768431983385254
चुप,RB 0.0011001100110011
स्टंट,FW 0.0020768431983385254
प्रशांत,N_NN 5.5855936368917286e-05
सिवा,RB 0.0022002200220022
आपकी,IN 0.00047318611987381704
लगा,JJ 0.00012866700977869275
मिटाना,V_VB 0.0003254149040026033
सीतामढ़ी,N_NN 3.351356182135037e-05
पिंटू,N_NN 3.351356182135037e-05
लड़ने,IN 0.0007886435331230284
भगाओ,V_VB 0.0003254149040026033
वंदन,N_NN 3.351356182135037e-05
कैंपस,FW 0.0020768431983385254
चढ़ीं,V_VB 0.00021694326933506888
सीटों,FW 0.03115264797507788
फतेहगढ़,N_NN 2.2342374547566916e-05
गुरु,PRP 0.0006319780914261639
तोड़ी,V_VB 0.0003254149040026033
दलित,N_NN 3.351356182135037e-05
चल,JJ 0.00038600102933607824
अकेला,RB 0.0016501650165016502
अलावा,RB 0.0022002200220022
मिनी,FW 0.003115264797507788
चितौड़गढ़,N_NN 3.351356182135037e-05
पूंजीपतियों,N_NN 3.351356182135037e-05
छोड़ा,V_VB 0.00043388653867013776
अमीरों,UN 5.307010560951016e-05
आरएसएस,FW 0.003115264797507788
एजेंडे,FW 0.003115264797507788
जहाज,N_NN 0.00016756780910675187
डूबता,V_VB 0.0003254149040026033
भागा,V_VB 0.0003254149040026033
गुड़गांव,N_NN 2.2342374547566916e-05
पहुंचीं,V_VB 0.00021694326933506888
रक्षामंत्री,N_NN 1.1171187273783458e-05
मेट्रो,FW 0.0020768431983385254
वृशिण,N_NN 3.351356182135037e-05
बौखला,UN 5.307010560951016e-05
गई,UN 0.0001592103168285305
शिवानंद,N_NN 3.351356182135037e-05
कटवा,V_VB 0.0003254149040026033
हास्यास्पद,JJ 0.00038600102933607824
रिश्तेदार,UN 5.307010560951016e-05
म,UN 5.307010560951016e-05
सुखराम,N_NN 2.2342374547566916e-05
डायनासोर,FW 0.003115264797507788
विलुप्त,JJ 0.00038600102933607824
बची,JJ 0.00038600102933607824
महाचंद्र,N_NN 3.351356182135037e-05
स्पेशल,UN 5.307010560951016e-05
चार्टर,FW 0.003115264797507788
प्लेन,FW 0.003115264797507788
जड़े,JJ 0.00038600102933607824
जातपात,JJ 0.00038600102933607824
घुसकर,V_VB 0.0003254149040026033
मुंहतोड़,JJ 0.00038600102933607824
मोह,V_VB 0.0003254149040026033
मानीः,V_VB 0.0003254149040026033
सूरतएहाल,JJ 0.00038600102933607824
छत्तीसगढ़,N_NN 5.5855936368917286e-05
हाेते,V_VB 0.00021694326933506888
गद्रे,N_NN 2.2342374547566916e-05
गुमनाम,N_NN 2.2342374547566916e-05
न,UN 0.000636841267314122
तेजप्रताप,N_NN 2.2342374547566916e-05
विचार,V_VB 0.0003254149040026033
अका,UN 5.307010560951016e-05
माली,V_VB 0.00010847163466753444
सलाहकांग्रेस,N_NN 1.1171187273783458e-05
आ,UN 0.00010614021121902033
बो,UN 5.307010560951016e-05
रे,UN 5.307010560951016e-05
गी,UN 5.307010560951016e-05
मेंगे,N_NN 1.1171187273783458e-05
वेल,FW 0.0010384215991692627
नीलम,UN 5.307010560951016e-05
सीधा,RB 0.0016501650165016502
आरा,N_NN 5.5855936368917286e-05
बदले,RB 0.0022002200220022
पाटलिपुत्र,N_NN 3.351356182135037e-05
वामदलों,N_NN 3.351356182135037e-05
तिहाई,JJ 0.0002573340195573855
समेटा,V_VB 0.0003254149040026033
नित्यानंद,N_NN 4.468474909513383e-05
झेलना,V_VB 0.0003254149040026033
गुस्सा,V_VB 0.0003254149040026033
भला,RB 0.0033003300330033004
हरिंदर,N_NN 3.351356182135037e-05
खालसा,N_NN 3.351356182135037e-05
ज्वॉयन,FW 0.003115264797507788
ट्वीट,FW 0.004153686396677051
घुमाओ,V_VB 0.00021694326933506888
लाओ,PRP 0.0004213187276174426
हटाने,IN 0.0006309148264984228
पावरः,FW 0.003115264797507788
कुंडारियाकुंवरजी,N_NN 1.1171187273783458e-05
पार्टीशन,FW 0.0020768431983385254
गंवाया,FW 0.003115264797507788
संख्या,UN 5.307010560951016e-05
बल,UN 5.307010560951016e-05
खोया,JJ 0.00038600102933607824
पानीपत,N_NN 2.2342374547566916e-05
इस्तीफे,N_NN 5.5855936368917286e-05
अंदरुनी,JJ 0.00038600102933607824
बोलीः,V_VB 0.00021694326933506888
जिस,JJ 0.0002573340195573855
जीताना,V_VB 0.0003254149040026033
अन्नपूर्णा,N_NN 2.2342374547566916e-05
जेएमएम,N_NN 1.1171187273783458e-05
पिछड़ों,N_NN 3.351356182135037e-05
दलितों,N_NN 3.351356182135037e-05
पीढ़ी,N_NN 4.468474909513383e-05
मंडरा,V_VB 0.0003254149040026033
खतरा,V_VB 0.0003254149040026033
असली,V_VB 0.00021694326933506888
लिखा,JJ 0.001029336078229542
तेरा,PRP 0.0002106593638087213
उतरकर,V_VB 0.0003254149040026033
फॉर्म,FW 0.0020768431983385254
माईका,N_NN 2.2342374547566916e-05
सौदागर,N_NN 2.2342374547566916e-05
च,UN 5.307010560951016e-05
ए,RB 0.00055005500550055
या,UN 0.00010614021121902033
अन्याय,NNP 0.11764705882352941
छात्रोंवाले,N_NN 1.1171187273783458e-05
डाइनिंग,FW 0.0010384215991692627
हॉल,FW 0.0010384215991692627
केसी,N_NN 1.1171187273783458e-05
एससीएसटी,N_NN 1.1171187273783458e-05
ठप,JJ 0.0002573340195573855
डॉक्टर,FW 0.0010384215991692627
क्रिकेटरों,N_NN 1.1171187273783458e-05
सर्जिकल,FW 0.0020768431983385254
स्ट्राइक,FW 0.0020768431983385254
आयाराम,N_NN 1.1171187273783458e-05
बम,UN 0.00010614021121902033
गोली,V_VB 0.00010847163466753444
मारकर,V_VB 0.00021694326933506888
आएंगे,VB 0.03076923076923077
श्याम,N_NN 3.351356182135037e-05
रजक,N_NN 3.351356182135037e-05
,VB 0.038461538461538464
गृह,UN 0.00021228042243804065
भड़का,JJ 0.0002573340195573855
टूट,UN 5.307010560951016e-05
सत्यानंद,N_NN 1.1171187273783458e-05
लोजपा,N_NN 1.1171187273783458e-05
सेकुलर,FW 0.0010384215991692627
विपक्षियों,N_NN 3.351356182135037e-05
वर्गीय,N_NN 4.468474909513383e-05
डॉ,UN 0.00021228042243804065
जायसवाल,N_NN 3.351356182135037e-05
सत्तारूढ़,JJ 0.0002573340195573855
सचेतक,N_NN 3.351356182135037e-05
दरकिनार,RB 0.0016501650165016502
हत्याओं,N_NN 5.5855936368917286e-05
दंगोंने,RB 0.00055005500550055
रहेV,VB 0.015384615384615385
ठंडामीठा,JJ 0.0002573340195573855
पिला,V_VB 0.00021694326933506888
वशिष्ठ,N_NN 2.2342374547566916e-05
मेंबर,FW 0.003115264797507788
कैबिनेट,FW 0.007268951194184839
दें,UN 0.000318420633657061
हिंदूमुस्लिम,N_NN 2.2342374547566916e-05
टकराएगा,V_VB 0.00021694326933506888
रैलियों,FW 0.0020768431983385254
जीती,V_VB 0.0003254149040026033
कीं,IN 0.0001577287066246057
सीटें,UN 5.307010560951016e-05
जीतीं,V_VB 0.0003254149040026033
सीटें,FW 0.02284527518172378
नतीजों,N_NN 5.5855936368917286e-05
बनने,IN 0.0003154574132492114
इच्छा,V_VB 0.00010847163466753444
जताई,V_VB 0.00021694326933506888
रिपोर्ट,FW 0.003115264797507788
धूमिल,N_NN 2.2342374547566916e-05
विपक्षी,N_NN 3.351356182135037e-05
फर्जी,UN 5.307010560951016e-05
एग्जिट,FW 0.007268951194184839
दुष्प्रचार,N_NN 2.2342374547566916e-05
निराश,JJ 0.0002573340195573855
ना,IN 0.0001577287066246057
कट्टरपंथियों,N_NN 2.2342374547566916e-05
मांगकर,V_VB 0.00010847163466753444
मुल्ला,N_NN 2.2342374547566916e-05
सकताः,V_VB 0.00010847163466753444
प्रेडिक्ट,FW 0.0020768431983385254
विन,FW 0.0020768431983385254
कितनी,JJ 0.00012866700977869275
मिलेंगी,V_VB 0.0003254149040026033
बताइए,V_VB 0.00021694326933506888
जीतिए,V_VB 0.00021694326933506888
एप,FW 0.003115264797507788
ईदगाहों,UN 0.00010614021121902033
उमड़ा,V_VB 0.00010847163466753444
हुजूम,N_NN 2.2342374547566916e-05
जालंधर,N_NN 2.2342374547566916e-05
सांसदाने,RB 0.00055005500550055
मुबारकबाद,N_NN 2.2342374547566916e-05
भतीजे,UN 0.00010614021121902033
टीआरपी,FW 0.0020768431983385254
गिरी,JJ 0.0002573340195573855
अपर्णा,N_NN 2.2342374547566916e-05
कब्र,N_NN 2.2342374547566916e-05
खोद,V_VB 0.00021694326933506888
लड़,V_VB 0.00043388653867013776
मंडलमंदिर,N_NN 1.1171187273783458e-05
पुत्रपुत्रियों,N_NN 2.2342374547566916e-05
एससीएसटी,FW 0.0020768431983385254
डॉक्टर,UN 5.307010560951016e-05
भारत,UN 5.307010560951016e-05
नेताओंक्रिकेटरों,N_NN 1.1171187273783458e-05
पाक,UN 5.307010560951016e-05
गो,UN 0.00010614021121902033
संजय,UH 0.25
दंगों,UN 0.00010614021121902033
बदलने,N_NN 2.2342374547566916e-05
धर्मोंकी,N_NN 1.1171187273783458e-05
उमड़ा,UN 5.307010560951016e-05
सांसदाें,UN 5.307010560951016e-05
नीलम,N_NN 2.2342374547566916e-05
आरपीएफ,FW 0.0020768431983385254
ऑफ,UN 5.307010560951016e-05
ओबीसी,FW 0.0020768431983385254
तिहाई,UN 5.307010560951016e-05
मिनट,FW 0.0020768431983385254
बुलानी,V_VB 0.00010847163466753444
पड़ी,V_VB 0.00010847163466753444
कुंडारियाकुंवर,N_NN 1.1171187273783458e-05
जी,UN 5.307010560951016e-05
संख्याबल,N_NN 1.1171187273783458e-05
पानीपत,UN 5.307010560951016e-05
अधिकारियों,UN 5.307010560951016e-05
गाली,V_VB 0.00010847163466753444
जेएमएम,FW 0.0010384215991692627
कृष्णमंदन,N_NN 1.1171187273783458e-05
लहर,V_VB 0.00010847163466753444
नंदकिशोर,N_NN 2.2342374547566916e-05
सही,IN 0.00047318611987381704
आएगा,V_VB 0.00010847163466753444
टुकड़ों,N_NN 3.351356182135037e-05
बंटेगा,N_NN 1.1171187273783458e-05
मारने,IN 0.0001577287066246057
चेताया,V_VB 0.0003254149040026033
करें,UN 0.00010614021121902033
नदियों,N_NN 4.468474909513383e-05
रामकृपाल,N_NN 2.2342374547566916e-05
सेवा,UN 5.307010560951016e-05
तालाब,UN 5.307010560951016e-05
कार,UN 5.307010560951016e-05
गिरने,IN 0.0001577287066246057
समेत,UN 5.307010560951016e-05
सदस्यों,UN 5.307010560951016e-05
मोगा,N_NN 1.1171187273783458e-05
जहां,_RB 1.0
सिरिंजों,FW 0.0010384215991692627
ढेर,UN 0.00010614021121902033
शहाबुद्दीनराजबल्लभ,N_NN 2.2342374547566916e-05
लें,UN 0.00021228042243804065
राबड़ी,N_NN 1.1171187273783458e-05
बौखला,V_VB 0.00021694326933506888
रिश्तेदार,N_NN 1.1171187273783458e-05
थाम,V_VB 0.00010847163466753444
बीजेपी,UN 5.307010560951016e-05
सेकेंड,UN 0.00010614021121902033
एपिक,FW 0.0020768431983385254
सेंटर,FW 0.0020768431983385254
लड़ेंगे,V_VB 0.0003254149040026033
फरलो,FW 0.0020768431983385254
स्पेशल,FW 0.0020768431983385254
फॉर्मूले,FW 0.0010384215991692627
ईडी,FW 0.0010384215991692627
छोड़ा,UN 5.307010560951016e-05
बागियों,UN 5.307010560951016e-05
पुतल,N_NN 2.2342374547566916e-05
बस,UN 0.00010614021121902033
फीसदी,RB 0.0016501650165016502
जाए,UN 5.307010560951016e-05
मृत्यु,UN 5.307010560951016e-05
लक्ष्यों,N_NN 1.1171187273783458e-05
सिपाही,IN 0.0001577287066246057
गोपाल,N_NN 1.1171187273783458e-05
भार्गव,N_NN 1.1171187273783458e-05
मप्र,N_NN 3.351356182135037e-05
स्थिति,UN 5.307010560951016e-05
दिखाकर,V_VB 0.00010847163466753444
दबा,JJ 0.00012866700977869275
ये,UN 5.307010560951016e-05
लड़ेगी,V_VB 0.00010847163466753444
ओएसडी,FW 0.0010384215991692627
दावेदारी,N_NN 1.1171187273783458e-05
मिगलानी,N_NN 1.1171187273783458e-05
श्रीवास्तव,N_NN 1.1171187273783458e-05
ढाई,N_NN 1.1171187273783458e-05
ट्रांसफर,FW 0.0010384215991692627
करा,UN 5.307010560951016e-05
निरस्त,JJ 0.00012866700977869275
सिंह,NNP 0.058823529411764705
मंदसौर,UN 5.307010560951016e-05
कांड,UN 5.307010560951016e-05
क्लीनचिट,FW 0.0010384215991692627
नुमाइंदे,N_NN 1.1171187273783458e-05
कुसमरिया,N_NN 1.1171187273783458e-05
ट्रेलर,UN 5.307010560951016e-05
क्या,UN 5.307010560951016e-05
किसाननौजवान,N_NN 1.1171187273783458e-05
मालिक,UN 5.307010560951016e-05
यह,PRP$_PRP$ 1.0
ना,UN 5.307010560951016e-05
भूले,V_VB 0.00010847163466753444
पोस्टर,FW 0.0020768431983385254
सत्तारूढ़,UN 5.307010560951016e-05
वशिष्ठ,UN 5.307010560951016e-05
वालों,UN 0.0001592103168285305
कृष्णमंदन,UN 5.307010560951016e-05
वर्मा,UN 5.307010560951016e-05
लहर,UN 5.307010560951016e-05
माले,UN 5.307010560951016e-05
वामपंथियों,N_NN 1.1171187273783458e-05
ऑर्डिनेंस,FW 0.0010384215991692627
फाड़ने,IN 0.0001577287066246057
करप्शन,FW 0.0010384215991692627
रैली,V_VB 0.00010847163466753444
अधयक्ष,UN 5.307010560951016e-05
ये,IN 0.0003154574132492114
फ्लॉप,FW 0.0020768431983385254
सुपर,IN 0.0001577287066246057
पार्किंग,FW 0.0010384215991692627
ओं,N_NN 1.1171187273783458e-05
घायल,V_VB 0.00021694326933506888
माकपा,N_NN 1.1171187273783458e-05
विजयी,V_VB 0.00010847163466753444
भवः,V_VB 0.00010847163466753444
जुटाएगी,V_VB 0.00010847163466753444
वर्करों,FW 0.0010384215991692627
पंचकूला,N_NN 1.1171187273783458e-05
जून,UN 5.307010560951016e-05
आगाज,N_NN 1.1171187273783458e-05
बनर्जी,UN 5.307010560951016e-05
बजे,V_VB 0.0007593014426727411
रीकाउंटिंग,FW 0.0020768431983385254
सुबह,RB 0.0016501650165016502
हा,N_NN 2.2342374547566916e-05
फरलो,UN 5.307010560951016e-05
ग्रोवर,UN 5.307010560951016e-05
प्रदीप,N_NN 2.2342374547566916e-05
जा,UN 5.307010560951016e-05
सीबीआई,V_VB 0.00010847163466753444
नागमणि,N_NN 2.2342374547566916e-05
पोस्टरबैनर,FW 0.0010384215991692627
चयन,V_VB 0.00021694326933506888
हाेगा,V_VB 0.00010847163466753444
मास्टर,FW 0.0010384215991692627
चेकअप,FW 0.0010384215991692627
उतरी,UN 5.307010560951016e-05
विवि,N_NN 1.1171187273783458e-05
अध्यादेश,N_NN 1.1171187273783458e-05
मछुआरा,N_NN 1.1171187273783458e-05
जोड़ेगा,V_VB 0.00010847163466753444
बहा,V_VB 0.00010847163466753444
प्वाइंट,FW 0.0010384215991692627
रोस्टर,FW 0.0010384215991692627
खत्म,V_VB 0.0005423581733376722
कितने,IN 0.0001577287066246057
गिने,V_VB 0.00010847163466753444
यूथ,FW 0.0010384215991692627
रामगुलाम,N_NN 1.1171187273783458e-05
जेपी,FW 0.0020768431983385254
गोलंबर,N_NN 1.1171187273783458e-05
चलेंगे,V_VB 0.00010847163466753444
सेतु,N_NN 2.2342374547566916e-05
व,UN 0.0001592103168285305
कोइलवर,N_NN 1.1171187273783458e-05
वनवे,FW 0.0010384215991692627
मिटा,V_VB 0.00010847163466753444
खुला,V_VB 0.00021694326933506888
ताजमहल,N_NN 1.1171187273783458e-05
आरसीपी,FW 0.0010384215991692627
कहेगी,V_VB 0.00010847163466753444
शहादों,N_NN 1.1171187273783458e-05
शोक,V_VB 0.00010847163466753444
जताने,IN 0.0001577287066246057
भिड़,V_VB 0.00010847163466753444
वीरेंद्र,N_NN 1.1171187273783458e-05
व,IN 0.00047318611987381704
तूतूमैंमैं,JJ 0.00012866700977869275
सफाया,V_VB 0.00010847163466753444
वंशवाद,N_NN 1.1171187273783458e-05
बैलगाड़ी,UN 5.307010560951016e-05
गेट,FW 0.0010384215991692627
बहनोई,N_NN 1.1171187273783458e-05
राजपूत,UN 5.307010560951016e-05
बागियों,N_NN 1.1171187273783458e-05
ऑफ,FW 0.0010384215991692627
गी,N_NN 2.2342374547566916e-05
दूर,UN 5.307010560951016e-05
प्रेस,FW 0.0010384215991692627
कॉन्फ्रेंस,FW 0.0010384215991692627
कानूनी,JJ 0.00012866700977869275
मांफी,V_VB 0.00010847163466753444
सीवान,N_NN 1.1171187273783458e-05
पैनल,FW 0.0010384215991692627
पावर,FW 0.0010384215991692627
बाजी,N_NN 2.2342374547566916e-05
प्रदेशभर,N_NN 1.1171187273783458e-05
सौंपी,V_VB 0.00010847163466753444
जाएंगी,V_VB 0.00021694326933506888
कांफ्रेंसिंग,FW 0.0010384215991692627
होली,V_VB 0.00010847163466753444
नलवाहलके,N_NN 1.1171187273783458e-05
गंगवा,N_NN 1.1171187273783458e-05
नब्ज,N_NN 1.1171187273783458e-05
टटोलेगी,V_VB 0.00010847163466753444
हॉट,FW 0.0020768431983385254
दुष्यंत,UN 5.307010560951016e-05
संभाला,V_VB 0.00010847163466753444
जेजेपी,FW 0.0010384215991692627
पहला,JJ 0.00012866700977869275
गालिब,N_NN 2.2342374547566916e-05
बहलाने,V_VB 0.00021694326933506888
नकारा,V_VB 0.00010847163466753444
भंग,V_VB 0.00010847163466753444
सुहाग,N_NN 2.2342374547566916e-05
अगली,V_VB 0.00010847163466753444
गिराएं,V_VB 0.00010847163466753444
नीचे,RB 0.00055005500550055
खड़ा,JJ 0.0002573340195573855
हमने,IN 0.0001577287066246057
गिड़गिड़ाएंगे,V_VB 0.00010847163466753444
बजट,FW 0.0020768431983385254
सेशन,FW 0.0020768431983385254
नमन,UN 5.307010560951016e-05
कार्यवाही,IN 0.0001577287066246057
स्थगित,V_VB 0.00010847163466753444
हजारों,JJ 0.00012866700977869275
फरार,JJ 0.00012866700977869275
लोन,FW 0.0010384215991692627
रजाई,N_NN 1.1171187273783458e-05
सुखबीर,N_NN 1.1171187273783458e-05
चचेरे,JJ 0.0002573340195573855
बब्बी,N_NN 2.2342374547566916e-05
रिश्तेदारी,N_NN 1.1171187273783458e-05
ऊपर,IN 0.0001577287066246057
बाबाजी,N_NN 1.1171187273783458e-05
इसलिए,IN 0.0001577287066246057
भेजे,V_VB 0.00010847163466753444
अमृतसर,UN 5.307010560951016e-05
न्यौता,N_NN 1.1171187273783458e-05
मजीठियासिद्धू,N_NN 1.1171187273783458e-05
लड़ाया,N_NN 1.1171187273783458e-05
पाेस्टर,FW 0.0010384215991692627
कालिख,N_NN 2.2342374547566916e-05
उठाने,IN 0.0001577287066246057
हक,UN 5.307010560951016e-05
फूलका,N_NN 1.1171187273783458e-05
हर,JJ 0.00012866700977869275
नेताकार्यकर्ता,N_NN 1.1171187273783458e-05
वायरस,FW 0.0010384215991692627
चपेट,V_VB 0.00010847163466753444
आसपास,JJ 0.00012866700977869275
आचार,N_NN 5.5855936368917286e-05
वहां,JJ 0.00012866700977869275
फोकस,FW 0.0010384215991692627
फोर्स,FW 0.0010384215991692627
अधिकारीकर्मचारियों,N_NN 1.1171187273783458e-05
ड्यूटी,FW 0.004153686396677051
सम्मानित,JJ 0.00012866700977869275
जिलों,UN 5.307010560951016e-05
बैठकें,N_NN 1.1171187273783458e-05
रोटेशन,FW 0.0010384215991692627
बैठेंगे,V_VB 0.00010847163466753444
पंचों,N_NN 1.1171187273783458e-05
नोटा,FW 0.0020768431983385254
प्रतिशत,RB 0.00055005500550055
अंबाला,UN 5.307010560951016e-05
दबाया,V_VB 0.00010847163466753444
बटन,FW 0.0010384215991692627
बघेल,N_NN 2.2342374547566916e-05
जोगी,N_NN 2.2342374547566916e-05
इसमें,PRP$ 0.023529411764705882
दिखेगी,V_VB 0.00010847163466753444
जब्त,V_VB 0.0003254149040026033
इतिहास,UN 5.307010560951016e-05
जीत,UN 5.307010560951016e-05
लाखों,JJ 0.00012866700977869275
गोमती,N_NN 1.1171187273783458e-05
साय,N_NN 1.1171187273783458e-05
वोटों,FW 0.0020768431983385254
राठिया,N_NN 1.1171187273783458e-05
मतगणना,N_NN 1.1171187273783458e-05
वीवीपैट,FW 0.0020768431983385254
स्लिप,FW 0.0010384215991692627
काउंट,FW 0.0010384215991692627
असावटी,N_NN 1.1171187273783458e-05
दोबारा,RB 0.0027502750275027505
भेजी,V_VB 0.00010847163466753444
एचएपी,FW 0.0010384215991692627
आईआरबी,FW 0.0010384215991692627
कंपनियां,FW 0.003115264797507788
छुटपुट,JJ 0.00012866700977869275
प्रतिशन,JJ 0.00012866700977869275
फतेहाबाद,N_NN 1.1171187273783458e-05
भिड़े,V_VB 0.00010847163466753444
ईंटपत्थर,N_NN 1.1171187273783458e-05
गाड़ियां,N_NN 1.1171187273783458e-05
तोड़ी,V_VB 0.00010847163466753444
स्ट्रॉन्ग,FW 0.0010384215991692627
थ्रीटायर,FW 0.0010384215991692627
सिक्युरिटी,FW 0.0010384215991692627
सिस्टम,FW 0.0010384215991692627
फैमिली,V_VB 0.00010847163466753444
इनके,PRP 0.0004213187276174426
आमनेसामने,N_NN 1.1171187273783458e-05
सवा,JJ 0.00012866700977869275
चुनेंगे,V_VB 0.00010847163466753444
करेंगेः,V_VB 0.00010847163466753444
पंजाबी,NN 0.07692307692307693
ला,IN 0.0001577287066246057
बेजती,N_NN 1.1171187273783458e-05
होज्यागीः,V_VB 0.00010847163466753444
थाः,V_VB 0.00010847163466753444
भगवंत,N_NN 1.1171187273783458e-05
शायराना,JJ 0.00012866700977869275
अंदाज,UN 5.307010560951016e-05
इंटरनेशनल,FW 0.0010384215991692627
गप्पी,JJ 0.00012866700977869275
समझा,V_VB 0.00010847163466753444
अर्धसैनिक,N_NN 1.1171187273783458e-05
संभालेगी,V_VB 0.00010847163466753444
जीपीएस,FW 0.0010384215991692627
लगवाने,IN 0.0001577287066246057
भेजीं,V_VB 0.00010847163466753444
मालिकों,N_NN 1.1171187273783458e-05
एफआईआर,FW 0.0010384215991692627
डाली,V_VB 0.00010847163466753444
कॉप्स,FW 0.0010384215991692627
सॉफ्टवेयर,FW 0.0010384215991692627
सीआरपीएफ,FW 0.0010384215991692627
समर्थन,UN 5.307010560951016e-05
बॉलीवुड,FW 0.0010384215991692627
चोटिल,N_NN 2.2342374547566916e-05
अर्द्ध,JJ 0.00012866700977869275
बलों,IN 0.0001577287066246057
बाेले,V_VB 0.00010847163466753444
एयरकंडीशन,FW 0.0010384215991692627
छूटता,V_VB 0.00010847163466753444
मांगने,IN 0.0001577287066246057
बलजीत,V_VB 0.00010847163466753444
दादूवाल,N_NN 1.1171187273783458e-05
रुठों,RB 0.00055005500550055
निकले,V_VB 0.00010847163466753444
चरणजीत,V_VB 0.0003254149040026033
मिनते,N_NN 1.1171187273783458e-05
जाते,UN 5.307010560951016e-05
पेड़,UN 5.307010560951016e-05
टकराई,V_VB 0.00010847163466753444
स्कॉर्पियो,FW 0.0010384215991692627
दाव,N_NN 1.1171187273783458e-05
तहत,JJ 0.00012866700977869275
अटका,V_VB 0.00010847163466753444
रायगढ़,N_NN 1.1171187273783458e-05
घट,V_VB 0.00010847163466753444
बाकी,IN 0.0001577287066246057
भरे,RB 0.0016501650165016502
पर्चे,N_NN 2.2342374547566916e-05
जितनी,RB 0.00055005500550055
लॉन्च,FW 0.0010384215991692627
टर्नआउट,FW 0.0010384215991692627
ऐप,FW 0.0010384215991692627
रियल,FW 0.0010384215991692627
टाइम,FW 0.0010384215991692627
कहांकितनी,JJ 0.00012866700977869275
वोटिंग,FW 0.003115264797507788
निर्दली,JJ 0.00012866700977869275
य,IN 0.0001577287066246057
लगाई,V_VB 0.00021694326933506888
प्रथम,V_VB 0.00021694326933506888
शान्तिपूर्ण,JJ 0.00012866700977869275
संपन्न,V_VB 0.00010847163466753444
डीजी,FW 0.0010384215991692627
आईजी,FW 0.0010384215991692627
नाटकबाजी,N_NN 1.1171187273783458e-05
डाल,UN 5.307010560951016e-05
हर,UN 5.307010560951016e-05
अंदर,RB 0.00055005500550055
रैलियां,FW 0.0020768431983385254
राजे,UN 5.307010560951016e-05
माला,N_NN 1.1171187273783458e-05
पहनाई,V_VB 0.00010847163466753444
उतरेंगे,V_VB 0.00010847163466753444
नामाकंन,N_NN 1.1171187273783458e-05
जयप्रकाश,N_NN 1.1171187273783458e-05
वैभव,N_NN 1.1171187273783458e-05
खड़ेखड़े,JJ 0.00012866700977869275
मुस्कुराते,JJ 0.00012866700977869275
स्क्रूटनी,FW 0.0010384215991692627
अर्जुनराम,N_NN 1.1171187273783458e-05
मेघवाल,N_NN 1.1171187273783458e-05
उड़ाए,V_VB 0.00010847163466753444
गुब्बारे,N_NN 1.1171187273783458e-05
बनाएगा,V_VB 0.00010847163466753444
ब्रांड,FW 0.0010384215991692627
एंबेसडर,FW 0.0010384215991692627
छात्रों,UN 5.307010560951016e-05
बांटे,V_VB 0.00010847163466753444
घरघर,N_NN 1.1171187273783458e-05
अपील,FW 0.0010384215991692627
नमो,N_NN 1.1171187273783458e-05
नाचते,V_VB 0.00010847163466753444
ग्रामीणों,N_NN 1.1171187273783458e-05
राजपरिवार,N_NN 1.1171187273783458e-05
लंबे,RB 0.00055005500550055
रमन,N_NN 1.1171187273783458e-05
काटा,V_VB 0.00010847163466753444
धर्मगुरुओं,N_NN 1.1171187273783458e-05
मार्च,FW 0.0010384215991692627
सच,V_VB 0.00010847163466753444
कांकेर,N_NN 1.1171187273783458e-05
छीनकर,V_VB 0.00010847163466753444
दरक,V_VB 0.00010847163466753444
जिले,UN 0.00010614021121902033
लागू,V_VB 0.00010847163466753444
अप्रेल,N_NN 3.351356182135037e-05
रात्रि,UN 5.307010560951016e-05
स्टार,FW 0.0020768431983385254
प्रचारकों,N_NN 1.1171187273783458e-05
सहित,RB 0.00055005500550055
लड़ना,V_VB 0.00021694326933506888
रेवाड़ी,N_NN 1.1171187273783458e-05
निर्वाचन,N_NN 1.1171187273783458e-05
पदाधिकारी,N_NN 1.1171187273783458e-05
नारियल,FW 0.0010384215991692627
फोड़,UN 5.307010560951016e-05
लगवाकर,V_VB 0.00010847163466753444
नक्सल,FW 0.0010384215991692627
निकली,V_VB 0.00010847163466753444
पार्टियां,FW 0.0010384215991692627
नदी,UN 5.307010560951016e-05
नक्सली,FW 0.0020768431983385254
बैनरपोस्टर,FW 0.0010384215991692627
शंखनाद,N_NN 1.1171187273783458e-05
लड़ेंगे,V_VB 0.00021694326933506888
दाखिल,JJ 0.00012866700977869275
प्रेक्षक,N_NN 1.1171187273783458e-05
राउंड,FW 0.0010384215991692627
फायर,FW 0.0010384215991692627
डीआईजी,FW 0.0010384215991692627
गिफ्ट,UN 5.307010560951016e-05
पहचानने,IN 0.0001577287066246057
वो,IN 0.0001577287066246057
निकालें,V_VB 0.00010847163466753444
उमाभारती,UN 5.307010560951016e-05
धनबाद,N_NN 1.1171187273783458e-05
एमसीसी,FW 0.0010384215991692627
फाइनल,FW 0.0010384215991692627
ऑटोरिक्शा,FW 0.0010384215991692627
जागरुकता,JJ 0.00012866700977869275
ट्रेनिंग,FW 0.0010384215991692627
अनुपस्थित,JJ 0.00012866700977869275
रहने,IN 0.0001577287066246057
गिरीगाज,N_NN 1.1171187273783458e-05
निलम्बित,V_VB 0.00010847163466753444
ट्रांजिट,FW 0.0010384215991692627
विजिट,FW 0.0010384215991692627
पहुंचेंगे,V_VB 0.00021694326933506888
जगदलपुर,N_NN 1.1171187273783458e-05
पदाधिकारियों,N_NN 2.2342374547566916e-05
मैं,IN 0.0001577287066246057
